Date,macOS Sierra,OS X El Capitan,OS X 10.10,macOS High Sierra,OS X Mavericks,mac OS X Snow Leopard,OS X Mountain Lion,mac OS X Lion,mac OS X Leopard,mac OS X Tiger
2017-06,46.88,23.73,16.32,0.11,5.83,2.73,1.93,1.91,0.42,0.12
2017-07,47.47,23.22,16.41,0.18,5.78,2.68,1.87,1.84,0.43,0.12
2017-08,48.93,22.8,16,0.25,5.45,2.43,1.85,1.74,0.42,0.12
2017-09,50.42,22.08,14.89,0.79,5.39,2.36,1.84,1.72,0.39,0.11
2017-10,48.01,21.69,14.35,5.44,5.14,2.02,1.52,1.42,0.3,0.07
2017-11,40.03,20.75,13.83,14.95,5.19,1.94,1.6,1.35,0.28,0.07
2017-12,29.61,20.64,13.36,26.42,4.64,1.93,1.7,1.33,0.29,0.08
2017-01,0,0,0,0,0,0,0,0,0,0
2017-02,0,0,0,0,0,0,0,0,0,0
2017-03,0,0,0,0,0,0,0,0,0,0
2017-04,0,0,0,0,0,0,0,0,0,0
2017-05,0,0,0,0,0,0,0,0,0,0
