Date,macOS High Sierra,macOS Sierra,OS X El Capitan,OS X 10.10,macOS Mojave,OS X Mavericks,mac OS X Snow Leopard,mac OS X Lion,OS X Mountain Lion,mac OS X Leopard,mac OS X Tiger
2018-01,32.68,25.69,19.93,12.58,0,4.04,1.94,1.39,1.34,0.32,0.09
2018-02,37.76,23.49,18.6,11.51,0,3.96,1.78,1.27,1.27,0.27,0.08
2018-03,41,22.47,17.22,11.04,0,3.8,1.68,1.2,1.27,0.24,0.07
2018-04,43.43,21.3,16.71,10.57,0,3.64,1.69,1.16,1.17,0.26,0.07
2018-05,45.64,20.47,16.26,10.11,0,3.38,1.58,1.15,1.13,0.22,0.06
2018-06,47.97,19.28,15.44,9.68,0.15,3.33,1.55,1.2,1.15,0.21,0.06
2018-07,49.78,18.41,14.79,9.36,0.36,3.19,1.55,1.15,1.13,0.21,0.06
2018-08,52.08,17.75,14.16,8.83,0.47,3.04,1.39,1.03,1.02,0.18,0.05
2018-09,53.05,17.11,13.98,8.28,1.39,2.81,1.29,0.97,0.91,0.17,0.05
2018-10,45.44,16.37,13.18,7.85,11.44,2.57,1.19,0.87,0.89,0.16,0.04
2018-11,33.33,14.92,11.94,7.45,26.76,2.46,1.21,0.87,0.85,0.17,0.05
2018-12,29.04,14.29,11.36,7.32,32.37,2.5,1.18,0.93,0.82,0.15,0.05
