Date,macOS Catalina,macOS Mojave,macOS High Sierra,macOS Sierra,OS X El Capitan,OS X 10.10,OS X Mavericks,macOS Big Sur 11.0,mac OS X Snow Leopard,OS X Mountain Lion,mac OS X Lion,macOS Big Sur 11.1,macOS Big Sur 10.16,mac OS X Leopard
2020-01,37.72,27.04,15.88,7.24,5.79,3.72,1.16,0,0.59,0.41,0.4,0,0,0.03
2020-02,40.83,25.4,15.42,6.85,5.48,3.53,1.11,0,0.54,0.43,0.36,0,0,0.03
2020-03,44.19,23.76,14.86,6.52,5.14,3.36,1.01,0,0.44,0.37,0.32,0,0,0.03
2020-04,48.98,21.43,13.82,5.88,4.7,3.18,0.96,0,0.37,0.38,0.28,0,0,0.02
2020-05,50.93,20.28,13.6,5.65,4.49,3.21,0.88,0,0.34,0.33,0.26,0,0,0.01
2020-06,52.95,19.02,13.48,5.45,4.37,2.91,0.86,0,0.35,0.31,0.27,0,0.03,0.01
2020-07,54.86,17.69,13.23,5.23,4.22,2.79,0.87,0.04,0.36,0.31,0.26,0,0.11,0.02
2020-08,57.34,16.37,12.7,4.94,3.98,2.64,0.82,0.24,0.32,0.26,0.24,0,0.12,0.02
2020-09,59.03,15.56,12.31,4.78,3.81,2.42,0.77,0.21,0.31,0.26,0.34,0,0.18,0.02
2020-10,61.94,14.32,11.66,4.5,3.52,2.28,0.7,0.25,0.28,0.22,0.21,0,0.1,0.03
2020-11,65.81,12.44,9.23,3.71,3.01,2.28,0.61,2.11,0.21,0.16,0.16,0.02,0.23,0.02
2020-12,63.63,11.68,8.72,3.51,2.88,2.17,0.58,3.82,0.26,0.15,0.15,1.82,0.57,0.01
