Date,macOS Catalina,macOS Mojave,macOS High Sierra,OS X 10.10,macOS Sierra,OS X El Capitan,macOS Big Sur 11.2,macOS Big Sur 11.1,OS X Mavericks,macOS Big Sur 11.0,macOS Big Sur 10.16,mac OS X Snow Leopard,mac OS X Lion,OS X Mountain Lion,macOS Big Sur 11.3,macOS Big Sur 11.5,macOS 11.6,macOS Big Sur 11.4,mac OS X Leopard
2021-01,63,10.63,8.27,2.46,3.27,2.69,0.1,6.19,0.58,1.59,0.68,0.23,0.15,0.14,0,0,0,0,0.01
2021-02,60.09,9.79,8.15,4.6,3.21,2.64,5.04,3.24,0.56,1.25,0.78,0.3,0.14,0.13,0.05,0,0,0,0.02
2021-03,59.48,9.38,7.88,5.04,3.02,2.49,8.2,1.65,0.54,0.94,0.74,0.28,0.13,0.12,0.07,0,0,0,0.02
2021-04,62.16,9.1,7.57,5.36,2.89,2.37,7.54,1,0.52,0.67,0.19,0.3,0.12,0.11,0.07,0,0,0,0.02
2021-05,71.13,8.66,7.28,4.97,2.81,2.5,1.04,0.17,0.51,0.15,0.13,0.2,0.12,0.11,0.18,0,0,0.01,0.02
2021-06,74.44,8.21,7.01,3.62,2.73,2.25,0.33,0.06,0.5,0.08,0.11,0.17,0.11,0.11,0.12,0,0,0.13,0.01
2021-07,77.23,7.83,6.88,1.7,2.7,2.2,0.1,0.04,0.5,0.09,0.11,0.2,0.12,0.11,0.01,0.01,0,0.16,0.01
2021-08,77.88,7.46,6.82,1.62,2.57,2.16,0.1,0.03,0.5,0.08,0.12,0.24,0.11,0.11,0.01,0.14,0,0.06,0.01
2021-09,78.27,7.23,7.04,1.56,2.41,2.01,0.08,0.02,0.46,0.07,0.11,0.22,0.1,0.09,0.01,0.26,0.01,0.02,0.01
2021-10,80.02,6.83,6.05,1.45,2.4,1.72,0.07,0.02,0.4,0.11,0.12,0.17,0.09,0.09,0.01,0.09,0.33,0.01,0.01
2021-11,80.8,6.55,5.88,1.53,2.34,1.71,0.06,0.02,0.39,0.12,0.11,0.15,0.08,0.08,0.02,0.02,0.09,0.01,0.01
2021-12,81.7,6.23,5.62,1.34,2.25,1.7,0.05,0.01,0.4,0.14,0.1,0.16,0.08,0.08,0.01,0.02,0.07,0.01,0.01
