Date,WinXP,WinVista,Win7,Win2000,Win2003,Win98,WinME
2009-01,78.45,19.93,0,0.97,0.34,0.19,0.1
2009-02,77.06,21.12,0.18,1,0.36,0.18,0.09
2009-03,76.5,21.66,0.27,0.94,0.36,0.18,0.09
2009-04,75.77,22.47,0.33,0.82,0.36,0.17,0.08
2009-05,75.27,22.71,0.56,0.73,0.5,0.15,0.07
2009-06,74.69,23,0.83,0.76,0.51,0.14,0.07
2009-07,73.76,23.95,1.04,0.69,0.36,0.13,0.07
2009-08,73,24.46,1.39,0.62,0.35,0.11,0.06
2009-09,72.39,24.69,1.78,0.6,0.36,0.11,0.06
2009-10,71.6,25.02,2.34,0.52,0.37,0.1,0.05
2009-11,69.91,24.45,4.31,0.45,0.73,0.09,0.05
2009-12,69.14,23.38,6.59,0.43,0.33,0.08,0.05
