Date,WinXP,Win7,WinVista,Win2003,Win2000,Win98
2011-01,53.01,30.08,16.41,0.3,0.16,0.02
2011-02,52.19,31.66,15.67,0.29,0.15,0.02
2011-03,51.43,33.26,14.85,0.29,0.14,0.02
2011-04,50.63,34.69,14.26,0.27,0.11,0.02
2011-05,49.85,36.12,13.62,0.28,0.1,0.02
2011-06,48.99,37.57,13.05,0.27,0.08,0.02
2011-07,47.77,39.25,12.59,0.26,0.09,0.02
2011-08,46.41,41.07,12.13,0.26,0.1,0.02
2011-09,44.55,42.85,12.21,0.27,0.1,0.01
2011-10,42.5,44.76,12.36,0.25,0.09,0.01
2011-11,41.89,45.44,12.29,0.26,0.09,0.01
2011-12,40.35,47.23,12.05,0.26,0.08,0.01
