Date,Win7,WinXP,WinVista,Win8,Win2003,Win2000,WinNT
2012-01,49.17,38.8,11.66,0,0.26,0.08,0.01
2012-02,50.54,38.04,11.03,0,0.28,0.08,0.01
2012-03,52,37.47,10.13,0.02,0.28,0.07,0.01
2012-04,53.62,35.82,10.05,0.14,0.27,0.07,0.01
2012-05,55.09,34.98,9.43,0.15,0.26,0.06,0.01
2012-06,56.47,33.65,9.36,0.2,0.24,0.06,0.01
2012-07,57.56,32.75,9.13,0.22,0.26,0.05,0.02
2012-08,58.06,32.55,8.72,0.27,0.33,0.05,0.01
2012-09,59.35,31.43,8.62,0.32,0.21,0.05,0.01
2012-10,60.31,30.81,8.21,0.4,0.21,0.04,0.01
2012-11,60.71,29.92,7.97,1.14,0.2,0.04,0.01
2012-12,60.89,29.12,7.73,2.02,0.18,0.04,0.01
