Date,Win7,WinXP,Win8,WinVista,Win8.1,Win2003,Win2000,WinNT
2013-01,61.16,28.05,2.92,7.61,0,0.2,0.04,0.01
2013-02,60.94,27.73,3.67,7.4,0,0.2,0.04,0.01
2013-03,60.99,27.1,4.52,7.11,0,0.22,0.05,0.01
2013-04,62.27,24.93,5.47,6.95,0,0.33,0.04,0.01
2013-05,61.95,24.85,6.13,6.65,0,0.36,0.04,0.01
2013-06,61.66,24.67,6.96,6.33,0,0.31,0.05,0.01
2013-07,61.65,24.03,7.77,6.15,0.02,0.3,0.04,0.01
2013-08,61.04,24.15,8.27,6.11,0.02,0.31,0.04,0.01
2013-09,60.64,24.02,8.7,6.18,0.04,0.33,0.04,0.01
2013-10,60.57,23.48,8.99,6.2,0.36,0.33,0.04,0.01
2013-11,61.02,22.73,8.85,5.72,1.31,0.28,0.04,0.02
2013-12,61.19,22.1,9.08,4.8,2.48,0.22,0.04,0.02
