Date,Win7,WinXP,Win8.1,Win8,WinVista,Win2003,Win8.1 RT,Win2000,Win98,WinNT
2014-01,61.17,21.53,3.62,8.9,4.45,0.19,0.06,0.03,0.02,0.02
2014-02,61.57,20.71,4.32,8.82,4.23,0.18,0.08,0.03,0.02,0.02
2014-03,61.02,20.77,5,8.76,4.09,0.17,0.09,0.04,0.01,0.02
2014-04,61.79,19.24,5.87,8.76,4,0.16,0.09,0.03,0.01,0.01
2014-05,61.98,18.2,6.94,8.57,3.96,0.16,0.1,0.04,0.02,0.01
2014-06,61.65,18.26,7.5,8.48,3.78,0.15,0.11,0.04,0.02,0.01
2014-07,62,16.97,8.34,8.42,3.94,0.14,0.11,0.03,0.02,0.01
2014-08,62.45,16.03,9.25,8.23,3.72,0.13,0.12,0.03,0.02,0.01
2014-09,61.99,16.27,10.11,7.74,3.55,0.14,0.12,0.03,0.02,0.01
2014-10,62.21,14.97,11.66,7.44,3.36,0.14,0.13,0.03,0.02,0.01
2014-11,63.01,13.38,13.7,6.13,3.38,0.14,0.16,0.03,0.02,0.01
2014-12,61.31,14.88,14.69,5.26,3.54,0.15,0.05,0.05,0.02,0.01
