Date,Win7,Win8.1,WinXP,Win8,Win10,WinVista,Win2003,Win98,Win2000,WinCE,WinNT
2015-01,61.99,16.19,13.59,4.9,0.05,3.05,0.14,0.02,0.04,0.02,0.01
2015-02,61.45,16.78,13.88,4.69,0.12,2.87,0.13,0.02,0.03,0.01,0.01
2015-03,61.68,17.83,12.88,4.58,0.14,2.7,0.12,0.01,0.02,0.01,0.01
2015-04,61.85,18.11,12.55,4.58,0.15,2.57,0.12,0.01,0.02,0.01,0.01
2015-05,61.67,18.57,12.25,4.54,0.16,2.59,0.13,0.02,0.02,0.01,0.01
2015-06,62.24,19.02,11.62,4.27,0.2,2.45,0.12,0.03,0.02,0.01,0.01
2015-07,62.31,19.2,11.41,4.2,0.41,2.28,0.13,0.03,0.02,0.01,0.01
2015-08,60.19,16.32,11.04,3.91,6.11,2.2,0.12,0.07,0.02,0.01,0.01
2015-09,58.89,15.56,10.72,3.72,8.74,2.12,0.12,0.09,0.02,0.02,0.01
2015-10,58.15,15.14,10.44,3.61,10.42,2.05,0.13,0.01,0.03,0.02,0.01
2015-11,57.4,15.16,9.9,3.45,11.86,2.02,0.13,0,0.04,0.02,0.01
2015-12,55.89,14.31,9.95,3.52,13.98,2.1,0.13,0.05,0.04,0.02,0.02
