Date,Win7,Win10,Win8.1,WinXP,Win8,WinVista,Win2003,Win98,Win2000
2016-01,54.78,16.02,13.7,9.36,3.7,2.08,0.2,0.08,0.04
2016-02,54.33,17.52,13.48,8.97,3.55,1.91,0.13,0.07,0.02
2016-03,53.27,19.24,12.73,8.74,4.01,1.78,0.14,0.04,0.02
2016-04,52.24,20.99,12.08,8.74,3.97,1.73,0.21,0.01,0.02
2016-05,51.19,23.63,11.33,7.91,4.04,1.68,0.17,0.01,0.02
2016-06,49.94,26.04,10.31,7.73,4.16,1.63,0.15,0.01,0.02
2016-07,48.8,28.24,10.08,7.64,3.42,1.58,0.15,0.05,0.01
2016-08,48.37,29.63,10.16,7.07,3.09,1.49,0.1,0.07,0.01
2016-09,48.43,30.02,10.45,6.69,2.84,1.41,0.09,0.05,0.01
2016-10,48.21,30.69,10.29,6.18,2.94,1.53,0.09,0.05,0.01
2016-11,48.12,31.54,10.21,5.92,2.71,1.32,0.08,0.08,0.01
2016-12,47.74,32.22,10,5.93,2.71,1.2,0.08,0.09,0.01
