Date,Win7,Win10,Win8.1,WinXP,Win8,WinVista,Win2003
2017-01,47.46,32.84,9.65,5.72,3.02,1.2,0.08
2017-02,47.17,33.8,9.7,5.53,2.58,1.12,0.07
2017-03,47.06,34.25,9.62,5.47,2.44,1.07,0.07
2017-04,46.23,35.53,9.56,5.26,2.32,1.02,0.07
2017-05,46.37,35.76,9.44,5.06,2.32,0.97,0.06
2017-06,45.76,36.6,9.37,4.86,2.4,0.93,0.06
2017-07,45.73,36.93,9.14,4.94,2.32,0.85,0.07
2017-08,45.1,37.87,9.13,4.48,2.5,0.82,0.08
2017-09,43.99,39.3,9.01,4.19,2.64,0.79,0.07
2017-10,42.67,40.95,9.03,3.89,2.64,0.73,0.07
2017-11,42.51,41.36,9.03,3.66,2.67,0.67,0.08
2017-12,41.89,41.69,9.16,3.6,2.86,0.7,0.08
