Date,Win10,Win7,Win8.1,Win8,WinXP,WinVista,Win2003
2020-01,67.35,24.9,4.82,1.31,1.25,0.3,0.03
2020-02,69.23,23.13,4.69,1.3,1.15,0.44,0.04
2020-03,70.98,21.21,4.63,1.19,1.39,0.56,0.03
2020-04,73.14,19.44,4.83,1.22,0.89,0.45,0.03
2020-05,72.9,19.95,4.7,1.09,0.87,0.44,0.03
2020-06,73.34,19.79,4.5,1.06,0.82,0.44,0.03
2020-07,73.05,20.04,4.52,1.1,0.83,0.42,0.03
2020-08,73.76,19.44,4.47,1.07,0.82,0.41,0.03
2020-09,75.05,18.51,4.16,1.07,0.8,0.39,0.03
2020-10,77.31,16.8,3.79,1,0.71,0.35,0.02
2020-11,75.96,17.68,3.98,1.09,0.79,0.46,0.03
2020-12,75.68,18.03,3.95,1.1,0.8,0.41,0.03
