Date,Windows,OS X,Linux,Unknown,FreeBSD,Chrome OS
January 2009,95.42,3.68,0.64,0.17,0.01,
February 2009,95.39,3.76,0.62,0.14,0.01,
March 2009,95.22,3.87,0.65,0.16,0.01,
April 2009,95.13,3.92,0.66,0.17,0.01,
May 2009,95.25,3.75,0.65,0.24,0.01,
June 2009,94.76,4.07,0.74,0.28,0.01,
July 2009,94.83,4.12,0.76,0.13,0.01,
August 2009,94.69,4.35,0.69,0.1,0.01,
September 2009,94.61,4.44,0.7,0.1,0.01,
October 2009,94.35,4.71,0.68,0.1,0.01,
November 2009,93.98,4.96,0.72,0.17,0.01,
December 2009,94.19,4.72,0.68,0.23,0.01,
January 2010,93.76,5.16,0.7,0.2,0.01,
February 2010,93.36,5.63,0.74,0.11,0.01,
March 2010,93.17,5.78,0.78,0.11,0.01,
April 2010,92.96,5.92,0.79,0.15,0.01,
May 2010,93.04,5.77,0.81,0.18,0.01,
June 2010,93.27,5.56,0.8,0.08,0.01,
July 2010,93.29,5.53,0.77,0.08,0.01,
August 2010,93.11,5.66,0.79,0.08,0.01,
September 2010,92.88,5.9,0.78,0.08,0.01,
October 2010,92.72,6.05,0.77,0.07,0.01,
November 2010,92.51,6.22,0.78,0.07,0.01,
December 2010,92.42,6.25,0.75,0.08,0.01,
January 2011,92.02,6.56,0.74,0.07,0.01,
February 2011,91.98,6.59,0.76,0.07,0.01,
March 2011,92.01,6.53,0.76,0.07,0.01,
April 2011,91.98,6.47,0.76,0.07,0.01,
May 2011,91.95,6.35,0.81,0.08,0.01,
June 2011,91.94,6.27,0.79,0.08,0.01,
July 2011,91.87,6.23,0.76,0.07,0.01,
August 2011,91.75,6.28,0.78,0.04,0.01,
September 2011,91.11,6.78,0.8,0.06,0.01,
October 2011,90.47,7.18,0.84,0.07,0.02,
November 2011,90.5,7.05,0.84,0.04,0.03,
December 2011,90.29,7.01,0.83,0.07,0.04,
January 2012,89.62,7.33,0.82,0.07,0.05,
February 2012,89.5,7.41,0.83,0.08,0.04,
March 2012,89.37,7.32,0.83,0.14,0.04,
April 2012,88.75,7.66,0.85,0.05,0.04,
May 2012,88.81,7.45,0.86,0.05,0.04,
June 2012,88.89,7.05,0.83,0.05,0.15,
July 2012,88.85,6.92,0.83,0.06,0.04,
August 2012,91.54,7.41,0.85,0.06,0.02,
September 2012,91.18,7.75,0.88,0.06,0.02,
October 2012,91.04,7.87,0.9,0.06,0.01,
November 2012,91.02,7.86,0.9,0.06,0.01,
December 2012,91.22,7.69,0.88,0.07,0.01,
January 2013,90.96,7.95,0.88,0.07,0.01,0.01
February 2013,90.87,7.95,0.93,0.07,0.01,0.02
March 2013,91.16,7.7,0.95,0.08,0.01,0.02
April 2013,91.28,7.47,1.05,0.08,0.01,0.02
May 2013,90.84,7.61,1.28,0.09,0.01,0.02
June 2013,90.43,7.87,1.3,0.12,0.01,0.02
July 2013,90.49,7.81,1.23,0.08,0.01,0.03
August 2013,90.56,7.63,1.23,0.09,0.01,0.03
September 2013,90.89,7.41,1.02,0.1,0.01,0.04
October 2013,90.63,7.42,1.1,0.1,0.01,0.04
November 2013,90.34,7.45,1.15,0.11,0.01,0.05
December 2013,89.55,7.83,1.13,0.08,0.01,0.1
January 2014,88.87,8.35,1.13,0.05,0.01,0.14
February 2014,89.65,8.39,1.14,0.26,0.01,0.16
March 2014,89.61,8.58,1.16,0.47,0.01,0.18
April 2014,89.18,8.85,1.34,0.44,0.01,0.19
May 2014,88.83,8.85,1.58,0.54,0.01,0.19
June 2014,89.27,8.56,1.37,0.61,0.01,0.19
July 2014,89.25,8.59,1.34,0.63,0.01,0.19
August 2014,89.15,8.65,1.38,0.61,0.01,0.21
September 2014,88.49,9.15,1.39,0.72,0.01,0.25
October 2014,88.28,9.13,1.41,0.9,0.01,0.27
November 2014,88.47,8.98,1.33,0.93,0.01,0.28
December 2014,88.74,8.67,1.39,0.91,0.01,0.29
January 2015,88.19,9.1,1.46,0.91,0.01,0.33
