Date,WinXP,WinVista,Win7,Win2000,Win2003,Win98,WinME,Win8,WinNT,Win8.1,Win8.1 RT,Win10,WinCE,Win11
2009-01,78.45,19.93,0,0.97,0.34,0.19,0.1,,,,,,,
2009-02,77.06,21.12,0.18,1,0.36,0.18,0.09,,,,,,,
2009-03,76.5,21.66,0.27,0.94,0.36,0.18,0.09,,,,,,,
2009-04,75.77,22.47,0.33,0.82,0.36,0.17,0.08,,,,,,,
2009-05,75.27,22.71,0.56,0.73,0.5,0.15,0.07,,,,,,,
2009-06,74.69,23,0.83,0.76,0.51,0.14,0.07,,,,,,,
2009-07,73.76,23.95,1.04,0.69,0.36,0.13,0.07,,,,,,,
2009-08,73,24.46,1.39,0.62,0.35,0.11,0.06,,,,,,,
2009-09,72.39,24.69,1.78,0.6,0.36,0.11,0.06,,,,,,,
2009-10,71.6,25.02,2.34,0.52,0.37,0.1,0.05,,,,,,,
2009-11,69.91,24.45,4.31,0.45,0.73,0.09,0.05,,,,,,,
2009-12,69.14,23.38,6.59,0.43,0.33,0.08,0.05,,,,,,,
2010-01,67.69,22.53,8.93,0.4,0.33,0.07,0.04,,,,,,,
2010-02,65.52,22.64,10.99,0.38,0.36,0.07,0.04,,,,,,,
2010-03,64.08,22.24,12.8,0.39,0.38,0.07,0.04,,,,,,,
2010-04,62.99,21.7,14.49,0.36,0.37,0.06,0.03,,,,,,,
2010-05,62.36,20.91,15.95,0.34,0.36,0.06,0.03,,,,,,,
2010-06,61.86,20.1,17.28,0.31,0.36,0.05,0.03,,,,,,,
2010-07,60.37,19.79,19.14,0.28,0.34,0.05,0.02,,,,,,,
2010-08,59.48,18.99,20.87,0.24,0.34,0.04,0.02,,,,,,,
2010-09,58.45,18.18,22.74,0.22,0.34,0.04,0.02,,,,,,,
2010-10,57.17,17.77,24.49,0.2,0.32,0.03,0.02,,,,,,,
2010-11,55.96,17.41,26.07,0.19,0.32,0.03,0.02,,,,,,,
2010-12,54.74,16.76,27.98,0.16,0.31,0.03,0.01,,,,,,,
2011-01,53.01,16.41,30.08,0.16,0.3,0.02,,,,,,,,
2011-02,52.19,15.67,31.66,0.15,0.29,0.02,,,,,,,,
2011-03,51.43,14.85,33.26,0.14,0.29,0.02,,,,,,,,
2011-04,50.63,14.26,34.69,0.11,0.27,0.02,,,,,,,,
2011-05,49.85,13.62,36.12,0.1,0.28,0.02,,,,,,,,
2011-06,48.99,13.05,37.57,0.08,0.27,0.02,,,,,,,,
2011-07,47.77,12.59,39.25,0.09,0.26,0.02,,,,,,,,
2011-08,46.41,12.13,41.07,0.1,0.26,0.02,,,,,,,,
2011-09,44.55,12.21,42.85,0.1,0.27,0.01,,,,,,,,
2011-10,42.5,12.36,44.76,0.09,0.25,0.01,,,,,,,,
2011-11,41.89,12.29,45.44,0.09,0.26,0.01,,,,,,,,
2011-12,40.35,12.05,47.23,0.08,0.26,0.01,,,,,,,,
2012-01,38.8,11.66,49.17,0.08,0.26,,,0,0.01,,,,,
2012-02,38.04,11.03,50.54,0.08,0.28,,,0,0.01,,,,,
2012-03,37.47,10.13,52,0.07,0.28,,,0.02,0.01,,,,,
2012-04,35.82,10.05,53.62,0.07,0.27,,,0.14,0.01,,,,,
2012-05,34.98,9.43,55.09,0.06,0.26,,,0.15,0.01,,,,,
2012-06,33.65,9.36,56.47,0.06,0.24,,,0.2,0.01,,,,,
2012-07,32.75,9.13,57.56,0.05,0.26,,,0.22,0.02,,,,,
2012-08,32.55,8.72,58.06,0.05,0.33,,,0.27,0.01,,,,,
2012-09,31.43,8.62,59.35,0.05,0.21,,,0.32,0.01,,,,,
2012-10,30.81,8.21,60.31,0.04,0.21,,,0.4,0.01,,,,,
2012-11,29.92,7.97,60.71,0.04,0.2,,,1.14,0.01,,,,,
2012-12,29.12,7.73,60.89,0.04,0.18,,,2.02,0.01,,,,,
2013-01,28.05,7.61,61.16,0.04,0.2,,,2.92,0.01,0,,,,
2013-02,27.73,7.4,60.94,0.04,0.2,,,3.67,0.01,0,,,,
2013-03,27.1,7.11,60.99,0.05,0.22,,,4.52,0.01,0,,,,
2013-04,24.93,6.95,62.27,0.04,0.33,,,5.47,0.01,0,,,,
2013-05,24.85,6.65,61.95,0.04,0.36,,,6.13,0.01,0,,,,
2013-06,24.67,6.33,61.66,0.05,0.31,,,6.96,0.01,0,,,,
2013-07,24.03,6.15,61.65,0.04,0.3,,,7.77,0.01,0.02,,,,
2013-08,24.15,6.11,61.04,0.04,0.31,,,8.27,0.01,0.02,,,,
2013-09,24.02,6.18,60.64,0.04,0.33,,,8.7,0.01,0.04,,,,
2013-10,23.48,6.2,60.57,0.04,0.33,,,8.99,0.01,0.36,,,,
2013-11,22.73,5.72,61.02,0.04,0.28,,,8.85,0.02,1.31,,,,
2013-12,22.1,4.8,61.19,0.04,0.22,,,9.08,0.02,2.48,,,,
2014-01,21.53,4.45,61.17,0.03,0.19,0.02,,8.9,0.02,3.62,0.06,,,
2014-02,20.71,4.23,61.57,0.03,0.18,0.02,,8.82,0.02,4.32,0.08,,,
2014-03,20.77,4.09,61.02,0.04,0.17,0.01,,8.76,0.02,5,0.09,,,
2014-04,19.24,4,61.79,0.03,0.16,0.01,,8.76,0.01,5.87,0.09,,,
2014-05,18.2,3.96,61.98,0.04,0.16,0.02,,8.57,0.01,6.94,0.1,,,
2014-06,18.26,3.78,61.65,0.04,0.15,0.02,,8.48,0.01,7.5,0.11,,,
2014-07,16.97,3.94,62,0.03,0.14,0.02,,8.42,0.01,8.34,0.11,,,
2014-08,16.03,3.72,62.45,0.03,0.13,0.02,,8.23,0.01,9.25,0.12,,,
2014-09,16.27,3.55,61.99,0.03,0.14,0.02,,7.74,0.01,10.11,0.12,,,
2014-10,14.97,3.36,62.21,0.03,0.14,0.02,,7.44,0.01,11.66,0.13,,,
2014-11,13.38,3.38,63.01,0.03,0.14,0.02,,6.13,0.01,13.7,0.16,,,
2014-12,14.88,3.54,61.31,0.05,0.15,0.02,,5.26,0.01,14.69,0.05,,,
2015-01,13.59,3.05,61.99,0.04,0.14,0.02,,4.9,0.01,16.19,,0.05,0.02,
2015-02,13.88,2.87,61.45,0.03,0.13,0.02,,4.69,0.01,16.78,,0.12,0.01,
2015-03,12.88,2.7,61.68,0.02,0.12,0.01,,4.58,0.01,17.83,,0.14,0.01,
2015-04,12.55,2.57,61.85,0.02,0.12,0.01,,4.58,0.01,18.11,,0.15,0.01,
2015-05,12.25,2.59,61.67,0.02,0.13,0.02,,4.54,0.01,18.57,,0.16,0.01,
2015-06,11.62,2.45,62.24,0.02,0.12,0.03,,4.27,0.01,19.02,,0.2,0.01,
2015-07,11.41,2.28,62.31,0.02,0.13,0.03,,4.2,0.01,19.2,,0.41,0.01,
2015-08,11.04,2.2,60.19,0.02,0.12,0.07,,3.91,0.01,16.32,,6.11,0.01,
2015-09,10.72,2.12,58.89,0.02,0.12,0.09,,3.72,0.01,15.56,,8.74,0.02,
2015-10,10.44,2.05,58.15,0.03,0.13,0.01,,3.61,0.01,15.14,,10.42,0.02,
2015-11,9.9,2.02,57.4,0.04,0.13,0,,3.45,0.01,15.16,,11.86,0.02,
2015-12,9.95,2.1,55.89,0.04,0.13,0.05,,3.52,0.02,14.31,,13.98,0.02,
2016-01,9.36,2.08,54.78,0.04,0.2,0.08,,3.7,,13.7,,16.02,,
2016-02,8.97,1.91,54.33,0.02,0.13,0.07,,3.55,,13.48,,17.52,,
2016-03,8.74,1.78,53.27,0.02,0.14,0.04,,4.01,,12.73,,19.24,,
2016-04,8.74,1.73,52.24,0.02,0.21,0.01,,3.97,,12.08,,20.99,,
